종명,접수일시,도로유형,도로명
삵,2021-04-12,국도,22
고라니,2021-04-12,국도,7
너구리,2021-04-12,국도,3
미동정(포유류),2021-04-12,국도,43
고양이,2021-04-12,국도,25
고라니,2021-04-12,국도,59
고양이,2021-04-12,국도,1
고양이,2021-04-12,국도,36
고라니,2021-04-12,국도,1
고라니,2021-04-12,국도,1
고양이,2021-04-12,국도,29
고라니,2021-04-12,국도,28
너구리,2021-04-13,국도,22
고라니,2021-04-13,국도,23
고라니,2021-04-13,국도,42
고라니,2021-04-13,국도,7
개,2021-04-13,국도,25
고라니,2021-04-13,국도,7
개,2021-04-13,국도,22
고라니,2021-04-13,국도,4
고라니,2021-04-13,국도,4
고라니,2021-04-13,국도,23
고라니,2021-04-14,국도,32
너구리,2021-04-14,국도,1
고양이,2021-04-14,국도,35
고라니,2021-04-14,국도,7
개,2021-04-14,국도,4
고양이,2021-04-14,국도,30
미동정(포유류),2021-04-14,국도,19
미동정(포유류),2021-04-14,국도,24
고양이,2021-04-14,국도,24
고라니,2021-04-14,국도,4
고라니,2021-04-14,국도,24
미동정(포유류),2021-04-14,국도,4
노루,2021-04-15,국도,7
고양이,2021-04-15,국도,23
고라니,2021-04-15,국도,45
미동정(포유류),2021-04-15,국도,23
고양이,2021-04-15,국도,25
고양이,2021-04-15,국도,22
고라니,2021-04-15,국도,22
미동정(포유류),2021-04-15,국도,24
미동정(포유류),2021-04-15,국도,4
미동정(포유류),2021-04-15,국도,32
고라니,2021-04-16,국도,4
고양이,2021-04-16,국도,1
미동정(포유류),2021-04-16,국도,23
고양이,2021-04-16,국도,25
미동정(포유류),2021-04-16,국도,5
고양이,2021-04-16,국도,3
미동정(조류),2021-04-16,국도,17
미동정(포유류),2021-04-16,국도,1
고라니,2021-04-16,국도,4
고양이,2021-04-17,국도,6
고라니,2021-04-17,국도,25
미동정(포유류),2021-04-17,국도,30
고양이,2021-04-18,국도,7
미동정(포유류),2021-04-19,국도,23
고양이,2021-04-19,국도,1
고라니,2021-04-19,국도,23
고양이,2021-04-19,국도,3
고라니,2021-04-19,국도,3
고라니,2021-04-19,국도,38
미동정(포유류),2021-04-19,국도,23
고양이,2021-04-19,국도,4
고양이,2021-04-19,국도,22
개,2021-04-19,국도,3
고라니,2021-04-19,국도,22
고양이,2021-04-19,국도,1
오소리,2021-04-19,국도,25
고라니,2021-04-19,국도,38
고라니,2021-04-19,국도,7
고라니,2021-04-19,국도,25
고라니,2021-04-19,국도,1
미동정(포유류),2021-04-19,국도,36
고라니,2021-04-19,국도,43
고양이,2021-04-19,국도,29
고라니,2021-04-19,국도,28
고라니,2021-04-19,국도,28
고양이,2021-04-19,국도,23
고라니,2021-04-20,국도,25
고라니,2021-04-20,국도,25
미동정(포유류),2021-04-20,국도,38
고라니,2021-04-20,국도,23
고라니,2021-04-20,국도,23
고양이,2021-04-20,국도,25
고라니,2021-04-20,국도,23
미동정(조류),2021-04-21,국도,38
수달,2021-04-21,국도,38
고라니,2021-04-21,국도,28
고라니,2021-04-21,국도,28
족제비,2021-04-21,국도,28
고라니,2021-04-21,국도,28
노루,2021-04-22,국도,44
고라니,2021-04-22,국도,38
고양이,2021-04-22,국도,44
미동정(포유류),2021-04-22,국도,24
파충류,2021-04-22,국도,44
고양이,2021-04-22,국도,58
미동정(포유류),2021-04-22,국도,22
고라니,2021-04-22,국도,23
미동정(포유류),2021-04-22,국도,23
노루,2021-04-23,국도,5
고양이,2021-04-23,국도,44
고라니,2021-04-23,국도,25
고양이,2021-04-23,국도,1
고양이,2021-04-23,국도,44
미동정(포유류),2021-04-23,국도,1
미동정(포유류),2021-04-23,국도,3
미동정(포유류),2021-04-24,국도,31
개,2021-04-24,국도,22
고양이,2021-04-24,국도,22
고라니,2021-04-26,국도,31
노루,2021-04-26,국도,38
고양이,2021-04-26,국도,23
고라니,2021-04-26,국도,23
고라니,2021-04-26,국도,23
고라니,2021-04-26,국도,4
고라니,2021-04-26,국도,4
고라니,2021-04-26,국도,42
고양이,2021-04-26,국도,24
미동정(포유류),2021-04-26,국도,32
고라니,2021-04-26,국도,32
고라니,2021-04-26,국도,3
고라니,2021-04-26,국도,3
고양이,2021-04-26,국도,46
족제비,2021-04-26,국도,6
고라니,2021-04-26,국도,43
고양이,2021-04-26,국도,29
개,2021-04-26,국도,28
고라니,2021-04-26,국도,23
족제비,2021-04-26,국도,3
고라니,2021-04-26,국도,22
고라니,2021-04-27,국도,38
삵,2021-04-27,국도,7
고라니,2021-04-27,국도,7
고양이,2021-04-27,국도,1
고라니,2021-04-27,국도,25
너구리,2021-04-27,국도,23
고양이,2021-04-27,국도,1
고라니,2021-04-27,국도,23
고양이,2021-04-27,국도,23
미동정(포유류),2021-04-27,국도,22
고양이,2021-04-27,국도,22
고라니,2021-04-27,국도,43
고양이,2021-04-27,국도,1
고양이,2021-04-27,국도,30
미동정(포유류),2021-04-27,국도,23
너구리,2021-04-27,국도,7
고라니,2021-04-27,국도,23
미동정(포유류),2021-04-27,국도,42
고라니,2021-04-27,국도,23
고라니,2021-04-27,국도,22
고라니,2021-04-27,국도,22
고양이,2021-04-27,국도,4
고라니,2021-04-27,국도,24
고라니,2021-04-27,국도,3
고양이,2021-04-27,국도,1
고라니,2021-04-27,국도,17
미동정(포유류),2021-04-27,국도,19
고라니,2021-04-28,국도,5
너구리,2021-04-28,국도,23
미동정(포유류),2021-04-28,국도,23
고양이,2021-04-28,국도,23
고라니,2021-04-28,국도,23
개,2021-04-28,국도,7
미동정(포유류),2021-04-28,국도,4
까마귀,2021-04-28,국도,7
고라니,2021-04-28,국도,4
